observation_date,QCON628BIS
1988-01-01,5.497800000000000
1988-04-01,5.365200000000000
1988-07-01,6.355600000000000
1988-10-01,6.308100000000000
1989-01-01,7.206400000000000
1989-04-01,7.738700000000000
1989-07-01,7.959300000000000
1989-10-01,8.396599999999999
1990-01-01,9.322600000000000
1990-04-01,9.384900000000000
1990-07-01,10.215999999999999
1990-10-01,10.650300000000000
1991-01-01,10.837300000000001
1991-04-01,11.978000000000000
1991-07-01,12.026500000000000
1991-10-01,12.855600000000001
1992-01-01,13.352200000000000
1992-04-01,14.086300000000000
1992-07-01,14.613600000000000
1992-10-01,14.964900000000000
1993-01-01,15.906700000000001
1993-04-01,17.017800000000001
1993-07-01,18.365300000000001
1993-10-01,19.425799999999999
1994-01-01,21.188800000000001
1994-04-01,22.225700000000000
1994-07-01,24.107399999999998
1994-10-01,26.062400000000000
1995-01-01,27.123899999999999
1995-04-01,29.680399999999999
1995-07-01,31.181300000000000
1995-10-01,32.673200000000001
1996-01-01,34.177000000000000
1996-04-01,35.827199999999998
1996-07-01,36.319899999999997
1996-10-01,36.689900000000002
1997-01-01,37.241000000000000
1997-04-01,38.850700000000003
1997-07-01,39.958700000000000
1997-10-01,41.939399999999999
1998-01-01,43.342300000000002
1998-04-01,44.612600000000000
1998-07-01,44.259399999999999
1998-10-01,43.694499999999998
1999-01-01,43.514499999999998
1999-04-01,43.651000000000003
1999-07-01,42.574599999999997
1999-10-01,43.596600000000002
2000-01-01,44.074399999999997
2000-04-01,44.644300000000001
2000-07-01,43.375000000000000
2000-10-01,42.913899999999998
2001-01-01,45.572299999999998
2001-04-01,45.446700000000000
2001-07-01,45.127099999999999
2001-10-01,47.187899999999999
2002-01-01,44.995500000000000
2002-04-01,46.497300000000003
2002-07-01,45.927500000000002
2002-10-01,46.116399999999999
2003-01-01,45.125100000000003
2003-04-01,46.869300000000003
2003-07-01,46.271799999999999
2003-10-01,48.686799999999998
2004-01-01,48.981600000000000
2004-04-01,50.626899999999999
2004-07-01,50.953400000000002
2004-10-01,54.347799999999999
2005-01-01,53.601799999999997
2005-04-01,55.201599999999999
2005-07-01,56.198900000000002
2005-10-01,57.011099999999999
2006-01-01,58.592100000000002
2006-04-01,61.957900000000002
2006-07-01,64.148300000000006
2006-10-01,65.493799999999993
2007-01-01,69.727199999999996
2007-04-01,72.619100000000003
2007-07-01,73.567899999999995
2007-10-01,75.699900000000000
2008-01-01,80.641700000000000
2008-04-01,84.150899999999993
2008-07-01,85.433099999999996
2008-10-01,87.387999999999991
2009-01-01,89.963300000000004
2009-04-01,92.607799999999997
2009-07-01,93.692200000000000
2009-10-01,95.090100000000007
2010-01-01,97.334900000000005
2010-04-01,99.175100000000000
2010-07-01,99.674800000000005
2010-10-01,103.815200000000004
2011-01-01,103.124600000000001
2011-04-01,107.318399999999997
2011-07-01,109.982799999999997
2011-10-01,111.143299999999996
2012-01-01,114.599100000000007
2012-04-01,118.236900000000006
2012-07-01,119.573499999999996
2012-10-01,122.761200000000002
2013-01-01,125.581800000000001
2013-04-01,129.312600000000003
2013-07-01,132.088699999999989
2013-10-01,133.279899999999998
2014-01-01,137.850699999999989
2014-04-01,139.440599999999989
2014-07-01,142.407600000000002
2014-10-01,143.310900000000004
2015-01-01,147.714499999999987
2015-04-01,153.104399999999998
2015-07-01,155.548100000000005
2015-10-01,155.372000000000014
2016-01-01,162.988000000000000
2016-04-01,166.698100000000011
2016-07-01,169.712600000000009
2016-10-01,170.525900000000007
2017-01-01,172.722199999999987
2017-04-01,177.823299999999989
2017-07-01,181.107900000000001
2017-10-01,182.610700000000008
2018-01-01,183.981999999999999
2018-04-01,190.758999999999986
2018-07-01,189.593600000000009
2018-10-01,188.635899999999992
2019-01-01,194.463099999999997
2019-04-01,197.111600000000010
2019-07-01,201.258900000000011
2019-10-01,200.653500000000008
2020-01-01,204.753299999999996
2020-04-01,199.497899999999987
2020-07-01,204.003399999999999
2020-10-01,204.253700000000009
2021-01-01,209.316200000000009
2021-04-01,214.444999999999993
2021-07-01,217.373400000000004
2021-10-01,218.466700000000003
2022-01-01,226.603100000000012
2022-04-01,229.875799999999998
2022-07-01,232.801299999999998
2022-10-01,230.698900000000009
2023-01-01,244.888200000000012
2023-04-01,243.891899999999993
2023-07-01,252.792100000000005
2023-10-01,241.438299999999998
2024-01-01,265.052999999999997
2024-04-01,263.164400000000001
2024-07-01,272.963900000000024
2024-10-01,274.896099999999990
